,Metro station,lon,lat,Number of floors,type,Number of rooms,id,Area,floor,Price
0,Авиамоторная,37.74178480154192,55.73659948644136,45,monolith,0.0,298892882,22.0,33,11266065.0
1,Авиамоторная,37.735153,55.754122,5,monolith,0.0,301280480,21.4,4,6990000.0
2,Авиамоторная,37.74327610975353,55.73685372060559,37,monolith,1.0,296502502,35.0,2,13215071.0
3,Авиамоторная,37.700595,55.749435,28,monolith,1.0,301175786,34.0,6,18990000.0
4,Авиамоторная,37.6965109035173,55.7532442158635,11,monolith,1.0,301392165,38.9,3,12436330.0
5,Авиамоторная,37.703775,55.751447,27,monolith,1.0,300883239,28.1,5,14580000.0
6,Авиамоторная,37.7432761098,55.7368537206,37,monolith,0.0,299081837,22.8,2,10743923.0
7,Авиамоторная,37.6911851725965,55.7500052956794,11,monolith,0.0,294355446,28.7,10,17000000.0
8,Авиамоторная,37.6965109035173,55.7532442158635,11,monolith,0.0,298351187,27.1,4,10116430.0
9,Авиамоторная,37.706613,55.756184,26,monolith,1.0,300832068,41.7,5,18490000.0
10,Авиамоторная,37.74385546689992,55.73689003924608,9,monolith,4.0,298187770,78.1,3,24982017.0
11,Авиамоторная,37.703775,55.751447,29,monolith,4.0,297721781,79.5,9,41000000.0
12,Авиамоторная,37.6910374790608,55.7529277317889,26,monolith,4.0,300357936,105.9,16,41883450.0
13,Авиамоторная,37.715183,55.756574,8,brick,1.0,300622311,49.7,3,15950000.0
14,Авиамоторная,37.6910374790608,55.7529277317889,14,monolith,1.0,300357810,44.2,6,22723220.0
15,Авиамоторная,37.703775,55.751447,27,monolith,1.0,298826127,30.0,10,14500000.0
16,Авиамоторная,37.687866,55.749167,14,monolith,4.0,300165815,109.6,10,58874240.0
17,Авиамоторная,37.699741,55.749714,28,monolith,4.0,300454960,91.0,23,50000000.0
18,Авиамоторная,37.690401129255,55.7516227365684,26,monolith,4.0,300358062,111.9,21,44245260.0
19,Авиамоторная,37.706973,55.75323,23,monolith,1.0,299812975,36.0,3,16790000.0
20,Авиамоторная,37.6965109035173,55.7532442158635,11,monolith,0.0,294513501,41.4,1,15185520.0
21,Авиамоторная,37.704862,55.751041,27,monolith,1.0,301013159,39.0,26,16700000.0
22,Авиамоторная,37.74385546689992,55.73689003924608,11,monolith,4.0,300128916,78.8,8,25808941.0
23,Авиамоторная,37.698672,55.750195,28,monolith,1.0,301352499,37.0,12,31000000.0
24,Авиамоторная,37.7446172143,55.7368476671,29,monolith,4.0,296502252,91.1,26,32104844.0
25,Авиамоторная,37.706622,55.750844,26,monolith,1.0,299915294,37.5,16,20000000.0
26,Авиамоторная,37.7417848015,55.7365994864,45,monolith,1.0,296503294,40.9,31,15064837.0
27,Авиамоторная,37.710755,55.742443,2,brick,0.0,300471019,28.2,2,8000000.0
28,Авиамоторная,37.74327610975353,55.73685372060559,37,monolith,1.0,296502661,35.6,35,14789614.0
29,Авиамоторная,37.703775,55.751447,15,monolith,1.0,285436606,30.0,10,14500000.0
30,Авиамоторная,37.7432761098,55.7368537206,37,monolith,1.0,296502686,40.4,35,15488847.0
31,Авиамоторная,37.706622,55.750844,30,monolith,1.0,300775267,40.0,24,17990000.0
32,Авиамоторная,37.7446172143,55.7368476671,29,monolith,4.0,296621365,79.6,25,28495544.0
33,Авиамоторная,37.698672,55.750195,28,monolith,1.0,295896231,37.0,5,18950000.0
34,Авиамоторная,37.7446172143,55.7368476671,29,monolith,1.0,300583601,33.4,16,14578047.0
