floor,count_floors,rooms,square,district,price
8,17,1,36.2,1,20000000
11,12,1,61.3,1,41200000
2,5,2,105.0,1,146000000
3,3,2,90.3,1,45800000
6,12,2,100.0,1,53500000
4,6,2,156.0,1,85100000
4,8,2,69.0,1,62600000
2,5,2,103.0,1,143200000
8,12,2,48.0,1,25700000
4,8,2,65.0,1,36200000
7,12,2,98.6,1,59800000
5,5,2,42.0,1,21400000
10,12,2,78.0,1,41700000
1,13,2,50.0,1,33900000
4,8,2,65.0,1,36200000
5,6,2,78.1,1,56300000
3,4,4,142.0,1,67200000
7,8,4,200.0,1,112000000
8,8,4,200.5,1,119500000
6,7,4,185.0,1,98300000
7,24,4,205.0,1,153200000
3,10,4,149.0,1,166400000
3,13,4,110.4,1,97500000
5,8,4,178.2,1,453600000
5,5,4,127.5,1,61100000
4,6,4,192.0,1,100300000
3,7,4,183.0,1,141800000
6,6,4,212.0,1,187300000
10,10,4,212.0,1,201600000
5,12,4,157.3,1,108100000
6,8,4,160.0,1,105400000
7,13,4,192.0,1,117600000
4,6,4,87.2,1,43700000
6,8,4,90.0,1,50600000
1,4,4,100.0,1,52600000
9,9,4,104.8,1,47100000
6,12,4,115.0,1,64900000
6,13,4,151.0,1,73800000
4,6,4,192.0,1,100300000
14,14,4,151.5,1,114200000
9,10,3,100.0,1,86200000
2,7,3,108.0,1,51000000
3,10,3,110.4,1,94500000
8,12,3,77.3,1,39300000
5,6,3,124.0,1,65500000
4,7,3,108.0,1,83200000
2,4,3,160.1,1,99000000
3,10,3,172.5,1,182400000
4,6,3,138.0,1,128300000
9,9,3,68.0,1,34200000
5,5,3,73.4,1,35500000
3,6,3,78.0,1,68700000
5,6,3,78.1,1,62000000
3,4,3,110.4,1,94500000
3,4,3,188.5,1,127200000
5,5,3,125.7,1,60100000
3,10,3,173.6,1,169700000
5,6,3,78.1,1,65400000
3,11,3,110.4,1,94500000
2,4,3,87.1,1,53500000
3,5,3,110.0,1,57000000
3,13,3,149.2,1,69600000
7,12,3,170.0,1,86500000
7,13,3,110.0,1,116300000
9,9,3,70.0,1,32000000
2,7,3,69.3,1,32200000
9,10,3,100.0,1,86200000
2,7,3,108.0,1,51000000
3,10,3,110.4,1,94500000
8,12,3,77.3,1,39300000
5,6,3,124.0,1,65500000
4,7,3,108.0,1,83200000
2,4,3,160.1,1,99000000
3,10,3,172.5,1,182400000
4,6,3,138.0,1,128300000
9,9,3,68.0,1,34200000
5,5,3,73.4,1,35500000
3,6,3,78.0,1,68700000
5,6,3,78.1,1,62000000
3,4,3,110.4,1,94500000
3,4,3,188.5,1,127200000
5,5,3,125.7,1,60100000
3,10,3,173.6,1,169700000
5,6,3,78.1,1,65400000
3,11,3,110.4,1,94500000
2,4,3,87.1,1,53500000
3,5,3,110.0,1,57000000
3,13,3,149.2,1,69600000
7,12,3,170.0,1,86500000
7,13,3,110.0,1,116300000
9,9,3,70.0,1,32000000
2,5,2,105.0,1,146000000
3,3,2,90.3,1,45800000
6,12,2,100.0,1,53500000
4,6,2,156.0,1,85100000
4,8,2,69.0,1,62600000
2,5,2,103.0,1,143200000
8,12,2,48.0,1,25700000
4,8,2,65.0,1,36200000
7,12,2,98.6,1,59800000
5,5,2,42.0,1,21400000
10,12,2,78.0,1,41700000
1,13,2,50.0,1,33900000
4,8,2,65.0,1,36200000
5,6,2,78.1,1,56300000
5,11,2,69.1,1,39500000
8,9,2,55.7,1,32300000
3,16,1,34.8,2,12600000
4,9,1,50.9,2,32100000
11,25,1,33.4,2,11600000
7,16,1,34.3,2,11800000
21,25,1,33.0,2,11000000
1,5,1,20.0,2,6600000
22,25,1,33.0,2,11500000
12,28,2,121.68,2,53000000
6,9,2,58.6,2,33700000
12,31,2,61.3,2,25800000
3,5,2,56.5,2,16200000
7,14,4,190.5,2,64200000
12,13,4,192.5,2,64900000
12,16,4,140.0,2,42300000
5,22,4,128.0,2,73300000
10,28,4,153.5,2,79100000
2,18,4,111.5,2,42500000
4,5,3,72.1,2,22000000
2,7,3,72.2,2,25600000
25,25,3,73.0,2,29400000
4,9,3,83.5,2,45700000
4,5,3,72.1,2,22000000
